Sequence,Character,Hex
"\c",⌞,U+231E,3
"\c",⌟,U+231F,4
"\c",⌈,U+2308,5
"\c",⌉,U+2309,6
"\c",⌊,U+230A,7
"\c",⌋,U+230B,8
"\cu",⌜,U+231C,1
"\cu",⌝,U+231D,2
"\cu",⌈,U+2308,3
"\cu",⌉,U+2309,4
"\cl",⌞,U+231E,1
"\cl",⌟,U+231F,2
"\cl",⌊,U+230A,3
"\cl",⌋,U+230B,4
"\cul",⌜,U+231C,1
"\cuL",⌈,U+2308,1
"\cur",⌝,U+231D,1
"\cuR",⌉,U+2309,1
"\cll",⌞,U+231E,1
"\clL",⌊,U+230A,1
"\clr",⌟,U+231F,1
"\clR",⌋,U+230B,1
"\qed",∎,U+220E,1
"\x",×,U+00D7,1
"\o",∘,U+2218,1
"\comp",∘,U+2218,1
"\.",∙,U+2219,1
"\.",．,U+FF0E,2
"\*",⋆,U+22C6,1
"\.+",∔,U+2214,1
"\.-",∸,U+2238,1
"\:",∶,U+2236,1
"\:",⦂,U+2982,2
"\:",ː,U+02D0,3
"\:",꞉,U+A789,4
"\:",˸,U+02F8,5
"\:",፥,U+1365,6
"\:",፦,U+1366,7
"\:",：,U+FF1A,8
"\:",﹕,U+FE55,9
"\:",︓,U+FE13,10
"\,",ʻ,U+02BB,1
"\,",،,U+060C,2
"\,",⸲,U+2E32,3
"\,",⸴,U+2E34,4
"\,",⹁,U+2E41,5
"\,",⹉,U+2E49,6
"\,",、,U+3001,7
"\,",︐,U+FE10,8
"\,",︑,U+FE11,9
"\,",﹐,U+FE50,10
"\,",﹑,U+FE51,11
"\,",，,U+FF0C,12
"\,",､,U+FF64,13
"\;",⨾,U+2A3E,1
"\;",⨟,U+2A1F,2
"\;",⁏,U+204F,3
"\;",፤,U+1364,4
"\;",꛶,U+A6F6,5
"\;",；,U+FF1B,6
"\;",︔,U+FE14,7
"\;",﹔,U+FE54,8
"\;",⍮,U+236E,9
"\;",⸵,U+2E35,10
"\;",;,U+037E,11
"\::",∷,U+2237,1
"\::-",∺,U+223A,1
"\-:",∹,U+2239,1
"\+ ",⊹,U+22B9,1
"\+",＋,U+FF0B,1
"\sqrt",√,U+221A,1
"\surd",√,U+221A,1
"\surd3",∛,U+221B,1
"\surd4",∜,U+221C,1
"\increment",∆,U+2206,1
"\inf",∞,U+221E,1
"\&",⅋,U+214B,1
"\&",﹠,U+FE60,2
"\&",＆,U+FF06,3
