Sequence,Character,Hex
"\MIR",𝑹,U+1D479,1
"\MIS",𝑺,U+1D47A,1
"\MIT",𝑻,U+1D47B,1
"\MIU",𝑼,U+1D47C,1
"\MIV",𝑽,U+1D47D,1
"\MIW",𝑾,U+1D47E,1
"\MIX",𝑿,U+1D47F,1
"\MIY",𝒀,U+1D480,1
"\MIZ",𝒁,U+1D481,1
"\MIa",𝒂,U+1D482,1
"\MIb",𝒃,U+1D483,1
"\MIc",𝒄,U+1D484,1
"\MId",𝒅,U+1D485,1
"\MIe",𝒆,U+1D486,1
"\MIf",𝒇,U+1D487,1
"\MIg",𝒈,U+1D488,1
"\MIh",𝒉,U+1D489,1
"\MIi",𝒊,U+1D48A,1
"\MIj",𝒋,U+1D48B,1
"\MIk",𝒌,U+1D48C,1
"\MIl",𝒍,U+1D48D,1
"\MIm",𝒎,U+1D48E,1
"\MIn",𝒏,U+1D48F,1
"\MIo",𝒐,U+1D490,1
"\MIp",𝒑,U+1D491,1
"\MIq",𝒒,U+1D492,1
"\MIr",𝒓,U+1D493,1
"\MIs",𝒔,U+1D494,1
"\MIt",𝒕,U+1D495,1
"\MIu",𝒖,U+1D496,1
"\MIv",𝒗,U+1D497,1
"\MIw",𝒘,U+1D498,1
"\MIx",𝒙,U+1D499,1
"\MIy",𝒚,U+1D49A,1
"\MIz",𝒛,U+1D49B,1
"\McA",𝒜,U+1D49C,1
"\McB",ℬ,U+212C,1
"\McC",𝒞,U+1D49E,1
"\McD",𝒟,U+1D49F,1
"\McE",ℰ,U+2130,1
"\McF",ℱ,U+2131,1
"\McG",𝒢,U+1D4A2,1
"\McH",ℋ,U+210B,1
"\McI",ℐ,U+2110,1
"\McJ",𝒥,U+1D4A5,1
"\McK",𝒦,U+1D4A6,1
"\McL",ℒ,U+2112,1
"\McM",ℳ,U+2133,1
"\McN",𝒩,U+1D4A9,1
"\McO",𝒪,U+1D4AA,1
"\McP",𝒫,U+1D4AB,1
"\McQ",𝒬,U+1D4AC,1
"\McR",ℛ,U+211B,1
"\McS",𝒮,U+1D4AE,1
"\McT",𝒯,U+1D4AF,1
"\McU",𝒰,U+1D4B0,1
"\McV",𝒱,U+1D4B1,1
"\McW",𝒲,U+1D4B2,1
"\McX",𝒳,U+1D4B3,1
"\McY",𝒴,U+1D4B4,1
"\McZ",𝒵,U+1D4B5,1
"\Mca",𝒶,U+1D4B6,1
"\Mcb",𝒷,U+1D4B7,1
"\Mcc",𝒸,U+1D4B8,1
"\Mcd",𝒹,U+1D4B9,1
"\Mce",ℯ,U+212F,1
"\Mcf",𝒻,U+1D4BB,1
"\Mcg",ℊ,U+210A,1
"\Mch",𝒽,U+1D4BD,1
"\Mci",𝒾,U+1D4BE,1
"\Mcj",𝒿,U+1D4BF,1
"\Mck",𝓀,U+1D4C0,1
"\Mcl",𝓁,U+1D4C1,1
"\Mcm",𝓂,U+1D4C2,1
"\Mcn",𝓃,U+1D4C3,1
"\Mco",ℴ,U+2134,1
"\Mcp",𝓅,U+1D4C5,1
"\Mcq",𝓆,U+1D4C6,1
"\Mcr",𝓇,U+1D4C7,1
"\Mcs",𝓈,U+1D4C8,1
"\Mct",𝓉,U+1D4C9,1
"\Mcu",𝓊,U+1D4CA,1
"\Mcv",𝓋,U+1D4CB,1
"\Mcw",𝓌,U+1D4CC,1
"\Mcx",𝓍,U+1D4CD,1
"\Mcy",𝓎,U+1D4CE,1
"\Mcz",𝓏,U+1D4CF,1
"\MCA",𝓐,U+1D4D0,1
"\MCB",𝓑,U+1D4D1,1
"\MCC",𝓒,U+1D4D2,1
"\MCD",𝓓,U+1D4D3,1
"\MCE",𝓔,U+1D4D4,1
"\MCF",𝓕,U+1D4D5,1
"\MCG",𝓖,U+1D4D6,1
"\MCH",𝓗,U+1D4D7,1
"\MCI",𝓘,U+1D4D8,1
"\MCJ",𝓙,U+1D4D9,1
"\MCK",𝓚,U+1D4DA,1
"\MCL",𝓛,U+1D4DB,1
"\MCM",𝓜,U+1D4DC,1
"\MCN",𝓝,U+1D4DD,1
"\MCO",𝓞,U+1D4DE,1
"\MCP",𝓟,U+1D4DF,1
"\MCQ",𝓠,U+1D4E0,1
"\MCR",𝓡,U+1D4E1,1
"\MCS",𝓢,U+1D4E2,1
"\MCT",𝓣,U+1D4E3,1
"\MCU",𝓤,U+1D4E4,1
"\MCV",𝓥,U+1D4E5,1
"\MCW",𝓦,U+1D4E6,1
"\MCX",𝓧,U+1D4E7,1
"\MCY",𝓨,U+1D4E8,1
"\MCZ",𝓩,U+1D4E9,1
"\MCa",𝓪,U+1D4EA,1
"\MCb",𝓫,U+1D4EB,1
"\MCc",𝓬,U+1D4EC,1
"\MCd",𝓭,U+1D4ED,1
"\MCe",𝓮,U+1D4EE,1
"\MCf",𝓯,U+1D4EF,1
"\MCg",𝓰,U+1D4F0,1
"\MCh",𝓱,U+1D4F1,1
"\MCi",𝓲,U+1D4F2,1
"\MCj",𝓳,U+1D4F3,1
"\MCk",𝓴,U+1D4F4,1
"\MCl",𝓵,U+1D4F5,1
"\MCm",𝓶,U+1D4F6,1
"\MCn",𝓷,U+1D4F7,1
"\MCo",𝓸,U+1D4F8,1
"\MCp",𝓹,U+1D4F9,1
"\MCq",𝓺,U+1D4FA,1
"\MCr",𝓻,U+1D4FB,1
"\MCs",𝓼,U+1D4FC,1
"\MCt",𝓽,U+1D4FD,1
"\MCu",𝓾,U+1D4FE,1
"\MCv",𝓿,U+1D4FF,1
"\MCw",𝔀,U+1D500,1
"\MCx",𝔁,U+1D501,1
"\MCy",𝔂,U+1D502,1
"\MCz",𝔃,U+1D503,1
"\MfA",𝔄,U+1D504,1
"\MfB",𝔅,U+1D505,1
"\MfC",ℭ,U+212D,1
"\MfD",𝔇,U+1D507,1
"\MfE",𝔈,U+1D508,1
"\MfF",𝔉,U+1D509,1
"\MfG",𝔊,U+1D50A,1
"\MfH",ℌ,U+210C,1
"\MfI",ℑ,U+2111,1
"\MfJ",𝔍,U+1D50D,1
"\MfK",𝔎,U+1D50E,1
"\MfL",𝔏,U+1D50F,1
"\MfM",𝔐,U+1D510,1
"\MfN",𝔑,U+1D511,1
"\MfO",𝔒,U+1D512,1
"\MfP",𝔓,U+1D513,1
"\MfQ",𝔔,U+1D514,1
"\MfR",ℜ,U+211C,1
"\MfS",𝔖,U+1D516,1
"\MfT",𝔗,U+1D517,1
"\MfU",𝔘,U+1D518,1
"\MfV",𝔙,U+1D519,1
"\MfW",𝔚,U+1D51A,1
"\MfX",𝔛,U+1D51B,1
"\MfY",𝔜,U+1D51C,1
"\MfZ",ℨ,U+2128,1
"\Mfa",𝔞,U+1D51E,1
"\Mfb",𝔟,U+1D51F,1
"\Mfc",𝔠,U+1D520,1
"\Mfd",𝔡,U+1D521,1
"\Mfe",𝔢,U+1D522,1
"\Mff",𝔣,U+1D523,1
"\Mfg",𝔤,U+1D524,1
"\Mfh",𝔥,U+1D525,1
"\Mfi",𝔦,U+1D526,1
"\Mfj",𝔧,U+1D527,1
"\Mfk",𝔨,U+1D528,1
"\Mfl",𝔩,U+1D529,1
"\Mfm",𝔪,U+1D52A,1
"\Mfn",𝔫,U+1D52B,1
"\Mfo",𝔬,U+1D52C,1
"\Mfp",𝔭,U+1D52D,1
"\Mfq",𝔮,U+1D52E,1
"\Mfr",𝔯,U+1D52F,1
"\Mfs",𝔰,U+1D530,1
"\Mft",𝔱,U+1D531,1
"\Mfu",𝔲,U+1D532,1
"\Mfv",𝔳,U+1D533,1
"\Mfw",𝔴,U+1D534,1
"\Mfx",𝔵,U+1D535,1
"\Mfy",𝔶,U+1D536,1
"\Mfz",𝔷,U+1D537,1
"\_a",ₐ,U+2090,1
"\_e",ₑ,U+2091,1
"\_h",ₕ,U+2095,1
"\_i",ᵢ,U+1D62,1
"\_j",ⱼ,U+2C7C,1
"\_k",ₖ,U+2096,1
"\_l",ₗ,U+2097,1
"\_m",ₘ,U+2098,1
"\_n",ₙ,U+2099,1
"\_o",ₒ,U+2092,1
"\_p",ₚ,U+209A,1
"\_r",ᵣ,U+1D63,1
"\_s",ₛ,U+209B,1
"\_t",ₜ,U+209C,1
"\_u",ᵤ,U+1D64,1
"\_v",ᵥ,U+1D65,1
"\_x",ₓ,U+2093,1
"\_Gb",ᵦ,U+1D66,1
"\_Gg",ᵧ,U+1D67,1
"\_Gr",ᵨ,U+1D68,1
"\_Gf",ᵩ,U+1D69,1
"\_Gc",ᵪ,U+1D6A,1
"\^a",ᵃ,U+1D43,1
"\^b",ᵇ,U+1D47,1
"\^c",ᶜ,U+1D9C,1
"\^d",ᵈ,U+1D48,1
"\^e",ᵉ,U+1D49,1
"\^f",ᶠ,U+1DA0,1
"\^g",ᵍ,U+1D4D,1
"\^h",ʰ,U+02B0,1
"\^i",ⁱ,U+2071,1
"\^j",ʲ,U+02B2,1
"\^k",ᵏ,U+1D4F,1
"\^l",ˡ,U+02E1,1
"\^m",ᵐ,U+1D50,1
"\^n",ⁿ,U+207F,1
"\^o",ᵒ,U+1D52,1
"\^p",ᵖ,U+1D56,1
"\^r",ʳ,U+02B3,1
"\^s",ˢ,U+02E2,1
"\^t",ᵗ,U+1D57,1
"\^u",ᵘ,U+1D58,1
"\^v",ᵛ,U+1D5B,1
"\^w",ʷ,U+02B7,1
"\^x",ˣ,U+02E3,1
"\^y",ʸ,U+02B8,1
"\^z",ᶻ,U+1DBB,1
"\^A",ᴬ,U+1D2C,1
"\^B",ᴮ,U+1D2E,1
"\^D",ᴰ,U+1D30,1
"\^E",ᴱ,U+1D31,1
"\^G",ᴳ,U+1D33,1
"\^H",ᴴ,U+1D34,1
"\^I",ᴵ,U+1D35,1
"\^J",ᴶ,U+1D36,1
"\^K",ᴷ,U+1D37,1
"\^L",ᴸ,U+1D38,1
"\^M",ᴹ,U+1D39,1
"\^N",ᴺ,U+1D3A,1
"\^O",ᴼ,U+1D3C,1
"\^P",ᴾ,U+1D3E,1
"\^R",ᴿ,U+1D3F,1
"\^T",ᵀ,U+1D40,1
"\^U",ᵁ,U+1D41,1
"\^V",ⱽ,U+2C7D,1
"\^W",ᵂ,U+1D42,1
"\^Ga",ᵅ,U+1D45,1
"\^Gb",ᵝ,U+1D5D,1
"\^Gg",ᵞ,U+1D5E,1
"\^Gd",ᵟ,U+1D5F,1
"\^Ge",ᵋ,U+1D4B,1
"\^Gth",ᶿ,U+1DBF,1
"\^Gi",ᶥ,U+1DA5,1
"\^Gf",ᵠ,U+1D60,1
"\^Gc",ᵡ,U+1D61,1
"\^GF",ᶲ,U+1DB2,1
"\ ", ,U+00A0,1
"\!",¡,U+00A1,1
"\cent",¢,U+00A2,1
"\brokenbar",¦,U+00A6,1
"\degree",°,U+00B0,1
"\?",¿,U+00BF,1
"\^a_",ª,U+00AA,1
"\^o_",º,U+00BA,1
"\(0)",⓪,U+24EA,1
"\(0)",🄀,U+1F100,2
"\(0)",⓿,U+24FF,3
"\(0)",🄋,U+1F10B,4
"\(0)",🄌,U+1F10C,5
"\(1)",⑴,U+2474,1
"\(1)",①,U+2460,2
"\(1)",⒈,U+2488,3
"\(1)",❶,U+2776,4
"\(1)",➀,U+2780,5
"\(1)",➊,U+278A,6
"\(2)",⑵,U+2475,1
"\(2)",②,U+2461,2
"\(2)",⒉,U+2489,3
"\(2)",❷,U+2777,4
"\(2)",➁,U+2781,5
"\(2)",➋,U+278B,6
"\(3)",⑶,U+2476,1
"\(3)",③,U+2462,2
"\(3)",⒊,U+248A,3
"\(3)",❸,U+2778,4
"\(3)",➂,U+2782,5
"\(3)",➌,U+278C,6
"\(4)",⑷,U+2477,1
"\(4)",④,U+2463,2
"\(4)",⒋,U+248B,3
"\(4)",❹,U+2779,4
"\(4)",➃,U+2783,5
"\(4)",➍,U+278D,6
"\(5)",⑸,U+2478,1
"\(5)",⑤,U+2464,2
"\(5)",⒌,U+248C,3
"\(5)",❺,U+277A,4
"\(5)",➄,U+2784,5
"\(5)",➎,U+278E,6
"\(6)",⑹,U+2479,1
"\(6)",⑥,U+2465,2
"\(6)",⒍,U+248D,3
"\(6)",❻,U+277B,4
"\(6)",➅,U+2785,5
"\(6)",➏,U+278F,6
"\(7)",⑺,U+247A,1
"\(7)",⑦,U+2466,2
"\(7)",⒎,U+248E,3
"\(7)",❼,U+277C,4
"\(7)",➆,U+2786,5
"\(7)",➐,U+2790,6
"\(8)",⑻,U+247B,1
"\(8)",⑧,U+2467,2
"\(8)",⒏,U+248F,3
"\(8)",❽,U+277D,4
"\(8)",➇,U+2787,5
"\(8)",➑,U+2791,6
"\(9)",⑼,U+247C,1
"\(9)",⑨,U+2468,2
"\(9)",⒐,U+2490,3
"\(9)",❾,U+277E,4
"\(9)",➈,U+2788,5
"\(9)",➒,U+2792,6
"\(10)",⑽,U+247D,1
"\(10)",⑩,U+2469,2
"\(10)",⒑,U+2491,3
"\(10)",❿,U+277F,4
"\(10)",➉,U+2789,5
"\(10)",➓,U+2793,6
"\(11)",⑾,U+247E,1
"\(11)",⑪,U+246A,2
"\(11)",⒒,U+2492,3
"\(11)",⓫,U+24EB,4
"\(12)",⑿,U+247F,1
"\(12)",⑫,U+246B,2
"\(12)",⒓,U+2493,3
"\(12)",⓬,U+24EC,4
"\(13)",⒀,U+2480,1
"\(13)",⑬,U+246C,2
"\(13)",⒔,U+2494,3
"\(13)",⓭,U+24ED,4
"\(14)",⒁,U+2481,1
"\(14)",⑭,U+246D,2
"\(14)",⒕,U+2495,3
"\(14)",⓮,U+24EE,4
"\(15)",⒂,U+2482,1
"\(15)",⑮,U+246E,2
"\(15)",⒖,U+2496,3
"\(15)",⓯,U+24EF,4
"\(16)",⒃,U+2483,1
"\(16)",⑯,U+246F,2
"\(16)",⒗,U+2497,3
"\(16)",⓰,U+24F0,4
"\(17)",⒄,U+2484,1
"\(17)",⑰,U+2470,2
"\(17)",⒘,U+2498,3
"\(17)",⓱,U+24F1,4
"\(18)",⒅,U+2485,1
"\(18)",⑱,U+2471,2
"\(18)",⒙,U+2499,3
"\(18)",⓲,U+24F2,4
"\(19)",⒆,U+2486,1
"\(19)",⑲,U+2472,2
"\(19)",⒚,U+249A,3
"\(19)",⓳,U+24F3,4
"\(20)",⒇,U+2487,1
"\(20)",⑳,U+2473,2
"\(20)",⒛,U+249B,3
"\(20)",⓴,U+24F4,4
"\(a)",⒜,U+249C,1
"\(a)",Ⓐ,U+24B6,2
"\(a)",ⓐ,U+24D0,3
"\(a)",🅐,U+1F150,4
"\(a)",🄰,U+1F130,5
"\(a)",🅰,U+1F170,6
"\(b)",⒝,U+249D,1
"\(b)",Ⓑ,U+24B7,2
"\(b)",ⓑ,U+24D1,3
"\(b)",🅑,U+1F151,4
"\(b)",🄱,U+1F131,5
"\(b)",🅱,U+1F171,6
"\(c)",⒞,U+249E,1
"\(c)",Ⓒ,U+24B8,2
"\(c)",ⓒ,U+24D2,3
"\(c)",🅒,U+1F152,4
"\(c)",🄲,U+1F132,5
"\(c)",🅲,U+1F172,6
"\(d)",⒟,U+249F,1
"\(d)",Ⓓ,U+24B9,2
"\(d)",ⓓ,U+24D3,3
"\(d)",🅓,U+1F153,4
"\(d)",🄳,U+1F133,5
"\(d)",🅳,U+1F173,6
"\(e)",⒠,U+24A0,1
"\(e)",Ⓔ,U+24BA,2
"\(e)",ⓔ,U+24D4,3
"\(e)",🅔,U+1F154,4
"\(e)",🄴,U+1F134,5
"\(e)",🅴,U+1F174,6
"\(f)",⒡,U+24A1,1
"\(f)",Ⓕ,U+24BB,2
"\(f)",ⓕ,U+24D5,3
"\(f)",🅕,U+1F155,4
"\(f)",🄵,U+1F135,5
"\(f)",🅵,U+1F175,6
"\(g)",⒢,U+24A2,1
"\(g)",Ⓖ,U+24BC,2
"\(g)",ⓖ,U+24D6,3
"\(g)",🅖,U+1F156,4
"\(g)",🄶,U+1F136,5
"\(g)",🅶,U+1F176,6
"\(h)",⒣,U+24A3,1
"\(h)",Ⓗ,U+24BD,2
"\(h)",ⓗ,U+24D7,3
"\(h)",🅗,U+1F157,4
"\(h)",🄷,U+1F137,5
"\(h)",🅷,U+1F177,6
"\(i)",⒤,U+24A4,1
"\(i)",Ⓘ,U+24BE,2
"\(i)",ⓘ,U+24D8,3
"\(i)",🅘,U+1F158,4
"\(i)",🄸,U+1F138,5
"\(i)",🅸,U+1F178,6
"\(j)",⒥,U+24A5,1
"\(j)",Ⓙ,U+24BF,2
"\(j)",ⓙ,U+24D9,3
"\(j)",🅙,U+1F159,4
"\(j)",🄹,U+1F139,5
"\(j)",🅹,U+1F179,6
"\(k)",⒦,U+24A6,1
"\(k)",Ⓚ,U+24C0,2
"\(k)",ⓚ,U+24DA,3
"\(k)",🅚,U+1F15A,4
"\(k)",🄺,U+1F13A,5
"\(k)",🅺,U+1F17A,6
"\(l)",⒧,U+24A7,1
"\(l)",Ⓛ,U+24C1,2
"\(l)",ⓛ,U+24DB,3
"\(l)",🅛,U+1F15B,4
"\(l)",🄻,U+1F13B,5
"\(l)",🅻,U+1F17B,6
"\(m)",⒨,U+24A8,1
"\(m)",Ⓜ,U+24C2,2
"\(m)",ⓜ,U+24DC,3
"\(m)",🅜,U+1F15C,4
"\(m)",🄼,U+1F13C,5
"\(m)",🅼,U+1F17C,6
"\(n)",⒩,U+24A9,1
"\(n)",Ⓝ,U+24C3,2
"\(n)",ⓝ,U+24DD,3
"\(n)",🅝,U+1F15D,4
"\(n)",🄽,U+1F13D,5
"\(n)",🅽,U+1F17D,6
"\(o)",⒪,U+24AA,1
"\(o)",Ⓞ,U+24C4,2
"\(o)",ⓞ,U+24DE,3
"\(o)",🅞,U+1F15E,4
"\(o)",🄾,U+1F13E,5
"\(o)",🅾,U+1F17E,6
"\(p)",⒫,U+24AB,1
"\(p)",Ⓟ,U+24C5,2
"\(p)",ⓟ,U+24DF,3
"\(p)",🅟,U+1F15F,4
"\(p)",🄿,U+1F13F,5
"\(p)",🅿,U+1F17F,6
"\(q)",⒬,U+24AC,1
"\(q)",Ⓠ,U+24C6,2
"\(q)",ⓠ,U+24E0,3
"\(q)",🅠,U+1F160,4
"\(q)",🅀,U+1F140,5
"\(q)",🆀,U+1F180,6
"\(r)",⒭,U+24AD,1
"\(r)",Ⓡ,U+24C7,2
"\(r)",ⓡ,U+24E1,3
"\(r)",🅡,U+1F161,4
"\(r)",🅁,U+1F141,5
"\(r)",🆁,U+1F181,6
"\(s)",⒮,U+24AE,1
"\(s)",Ⓢ,U+24C8,2
"\(s)",ⓢ,U+24E2,3
"\(s)",🅢,U+1F162,4
"\(s)",🅂,U+1F142,5
"\(s)",🆂,U+1F182,6
"\(t)",⒯,U+24AF,1
"\(t)",Ⓣ,U+24C9,2
"\(t)",ⓣ,U+24E3,3
"\(t)",🅣,U+1F163,4
"\(t)",🅃,U+1F143,5
"\(t)",🆃,U+1F183,6
"\(u)",⒰,U+24B0,1
"\(u)",Ⓤ,U+24CA,2
"\(u)",ⓤ,U+24E4,3
"\(u)",🅤,U+1F164,4
"\(u)",🅄,U+1F144,5
"\(u)",🆄,U+1F184,6
"\(v)",⒱,U+24B1,1
"\(v)",Ⓥ,U+24CB,2
"\(v)",ⓥ,U+24E5,3
"\(v)",🅥,U+1F165,4
"\(v)",🅅,U+1F145,5
"\(v)",🆅,U+1F185,6
"\(w)",⒲,U+24B2,1
"\(w)",Ⓦ,U+24CC,2
"\(w)",ⓦ,U+24E6,3
"\(w)",🅦,U+1F166,4
"\(w)",🅆,U+1F146,5
"\(w)",🆆,U+1F186,6
"\(x)",⒳,U+24B3,1
"\(x)",Ⓧ,U+24CD,2
"\(x)",ⓧ,U+24E7,3
"\(x)",🅧,U+1F167,4
"\(x)",🅇,U+1F147,5
"\(x)",🆇,U+1F187,6
"\(y)",⒴,U+24B4,1
"\(y)",Ⓨ,U+24CE,2
"\(y)",ⓨ,U+24E8,3
"\(y)",🅨,U+1F168,4
"\(y)",🅈,U+1F148,5
"\(y)",🆈,U+1F188,6
"\(z)",⒵,U+24B5,1
"\(z)",Ⓩ,U+24CF,2
"\(z)",ⓩ,U+24E9,3
"\(z)",🅩,U+1F169,4
"\(z)",🅉,U+1F149,5
"\(z)",🆉,U+1F189,6
